tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
6976, 155, 50, 0.987500, 1, 100, 0.000000, 1.693971
7008, 155, 50, 0.987500, 1, 100, 0.000000, 1.701318
7040, 155, 50, 0.987500, 1, 100, 0.000000, 1.698299
7072, 155, 50, 0.987500, 1, 100, 0.000000, 1.692415
7104, 155, 50, 0.987500, 1, 100, 0.000000, 1.692013
7136, 155, 50, 0.987500, 1, 100, 0.000000, 1.700779
7168, 155, 50, 0.987500, 1, 100, 0.000000, 1.696375
7200, 155, 50, 0.987500, 1, 100, 0.000001, 1.694601
7232, 155, 50, 0.987500, 1, 100, 0.000000, 1.699964
7264, 155, 50, 0.987500, 1, 100, 0.000000, 1.698139
7296, 155, 50, 0.987500, 1, 100, 0.000000, 1.698347
7328, 155, 50, 0.987500, 1, 100, 0.000000, 1.696262
7360, 155, 50, 0.987500, 1, 100, 0.000000, 1.698092
7392, 155, 50, 0.987500, 1, 100, 0.000000, 1.694904
7424, 155, 50, 0.987500, 1, 100, 0.000000, 1.697347
7456, 155, 50, 0.987500, 1, 100, 0.000000, 1.701096
7488, 155, 50, 0.987500, 1, 100, 0.000000, 1.700189
7520, 155, 50, 0.987500, 1, 100, 0.000000, 1.703681
7552, 155, 50, 0.987500, 1, 100, 0.000005, 1.697510
7584, 155, 50, 0.987500, 1, 100, 0.000000, 1.701179
7616, 155, 50, 0.987500, 1, 100, 0.000000, 1.702134
7648, 155, 50, 0.987500, 1, 100, 0.000000, 1.696397
7680, 155, 50, 0.987500, 1, 100, 0.000000, 1.696629
7712, 155, 50, 0.987500, 1, 100, 0.000000, 1.701457
7744, 155, 50, 0.987500, 1, 100, 0.000000, 1.692886
7776, 155, 50, 0.987500, 1, 100, 0.000000, 1.693830
7808, 155, 50, 0.987500, 1, 100, 0.000000, 1.696418
7840, 155, 50, 0.987500, 1, 100, 0.000000, 1.692171
7872, 155, 50, 0.987500, 1, 100, 0.000000, 1.691222
7904, 155, 50, 0.987500, 1, 100, 0.000000, 1.698407
7936, 155, 50, 0.987500, 1, 100, 0.000000, 1.693784
7968, 155, 50, 0.987500, 1, 100, 0.000000, 1.699302
8000, 155, 50, 0.987500, 1, 100, 0.000000, 1.700058
8032, 155, 50, 0.987500, 1, 100, 0.000000, 1.698590
8064, 155, 50, 0.987500, 1, 100, 0.000000, 1.699348
8096, 155, 50, 0.987500, 1, 100, 0.000000, 1.696225
8128, 155, 50, 0.987500, 1, 100, 0.000000, 1.694540
8160, 155, 50, 0.987500, 1, 100, 0.000000, 1.701230
8192, 155, 50, 0.987500, 1, 100, 0.000000, 1.698860
8224, 155, 50, 0.987500, 1, 100, 0.000000, 1.697613
8256, 155, 50, 0.987500, 1, 100, 0.000001, 1.696754
8288, 155, 50, 0.987500, 1, 100, 0.000000, 1.697303
8320, 155, 50, 0.987500, 1, 100, 0.000000, 1.700983
8352, 155, 50, 0.987500, 1, 100, 0.000000, 1.699993
8384, 155, 50, 0.987500, 1, 100, 0.000000, 1.699190
8416, 155, 50, 0.987500, 1, 100, 0.000000, 1.701689
8448, 155, 50, 0.987500, 1, 100, 0.000000, 1.700793
8480, 155, 50, 0.987500, 1, 100, 0.000000, 1.694628
8512, 155, 50, 0.987500, 1, 100, 0.000000, 1.700954
8544, 155, 50, 0.987500, 1, 100, 0.000000, 1.700360
8576, 155, 50, 0.987500, 1, 100, 0.000000, 1.697077
8608, 155, 50, 0.987500, 1, 100, 0.000000, 1.700600
8640, 155, 50, 0.987500, 1, 100, 0.000000, 1.706901
8672, 155, 50, 0.987500, 1, 100, 0.000000, 1.703827
8704, 155, 50, 0.987500, 1, 100, 0.000000, 1.697613
8736, 155, 50, 0.987500, 1, 100, 0.000000, 1.699981
8768, 155, 50, 0.987500, 1, 100, 0.000000, 1.695625
8800, 155, 50, 0.987500, 1, 100, 0.000000, 1.697829
8832, 155, 50, 0.987500, 1, 100, 0.000000, 1.698226
8864, 155, 50, 0.987500, 1, 100, 0.000000, 1.693805
8896, 155, 50, 0.987500, 1, 100, 0.000000, 1.701609
8928, 155, 50, 0.987500, 1, 100, 0.000000, 1.701842
8960, 155, 50, 0.987500, 1, 100, 0.000000, 1.698683
8992, 155, 50, 0.987500, 1, 100, 0.000000, 1.696062
9024, 155, 50, 0.987500, 1, 100, 0.000000, 1.697983
9056, 155, 50, 0.987500, 1, 100, 0.000000, 1.697222
9088, 155, 50, 0.987500, 1, 100, 0.000000, 1.694375
9120, 155, 50, 0.987500, 1, 100, 0.000000, 1.698394
9152, 155, 50, 0.987500, 1, 100, 0.000000, 1.696426
9184, 155, 50, 0.987500, 1, 100, 0.000000, 1.700013
9216, 155, 50, 0.987500, 1, 100, 0.000000, 1.699597
9248, 155, 50, 0.987500, 1, 100, 0.000000, 1.694835
9280, 155, 50, 0.987500, 1, 100, 0.000001, 1.694737
9312, 155, 50, 0.987500, 1, 100, 0.000000, 1.700481
9344, 155, 50, 0.987500, 1, 100, 0.000000, 1.699095
9376, 155, 50, 0.987500, 1, 100, 0.000000, 1.701995
9408, 155, 50, 0.987500, 1, 100, 0.000000, 1.694282
9440, 155, 50, 0.987500, 1, 100, 0.000000, 1.703170
9472, 155, 50, 0.987500, 1, 100, 0.000000, 1.698965
9504, 155, 50, 0.987500, 1, 100, 0.000000, 1.697473
9536, 155, 50, 0.987500, 1, 100, 0.000000, 1.700957
9568, 155, 50, 0.987500, 1, 100, 0.000000, 1.697287
9600, 155, 50, 0.987500, 1, 100, 0.000000, 1.699613
9632, 155, 50, 0.987500, 1, 100, 0.000000, 1.698306
9664, 155, 50, 0.987500, 1, 100, 0.000000, 1.699295
9696, 155, 50, 0.987500, 1, 100, 0.000000, 1.700626
9728, 155, 50, 0.987500, 1, 100, 0.000000, 1.695807
9760, 155, 50, 0.987500, 1, 100, 0.000000, 1.697484
9792, 155, 50, 0.987500, 1, 100, 0.000000, 1.699825
9824, 155, 50, 0.987500, 1, 100, 0.000000, 1.702671
9856, 155, 50, 0.987500, 1, 100, 0.000000, 1.697095
9888, 155, 50, 0.987500, 1, 100, 0.000000, 1.701878
9920, 155, 50, 0.987500, 1, 100, 0.000000, 1.698412
9952, 155, 50, 0.987500, 1, 100, 0.000000, 1.699262
9984, 155, 50, 0.987500, 1, 100, 0.000000, 1.698635
10016, 155, 50, 0.987500, 1, 100, 0.000000, 1.698436
10048, 155, 50, 0.987500, 1, 100, 0.000000, 1.697275
10080, 155, 50, 0.987500, 1, 100, 0.000002, 1.699145
10112, 155, 50, 0.987500, 1, 100, 0.000000, 1.699275
10144, 155, 50, 0.987500, 1, 100, 0.000000, 1.698802
10176, 155, 50, 0.987500, 1, 100, 0.000000, 1.701720
10208, 155, 50, 0.987500, 1, 100, 0.000000, 1.694441
10240, 155, 50, 0.987500, 1, 100, 0.000000, 1.697446
10272, 155, 50, 0.987500, 1, 100, 0.000000, 1.698654
10304, 155, 50, 0.987500, 1, 100, 0.000000, 1.695147
10336, 155, 50, 0.987500, 1, 100, 0.000000, 1.699139
10368, 155, 50, 0.987500, 1, 100, 0.000000, 1.698890
10400, 155, 50, 0.987500, 1, 100, 0.000000, 1.694031
10432, 155, 50, 0.987500, 1, 100, 0.000000, 1.695254
10464, 155, 50, 0.987500, 1, 100, 0.000000, 1.696789
10496, 155, 50, 0.987500, 1, 100, 0.000000, 1.703310
10528, 155, 50, 0.987500, 1, 100, 0.000000, 1.699867
10560, 155, 50, 0.987500, 1, 100, 0.000000, 1.696233
10592, 155, 50, 0.987500, 1, 100, 0.000000, 1.698478
10624, 155, 50, 0.987500, 1, 100, 0.000000, 1.695279
10656, 155, 50, 0.987500, 1, 100, 0.000000, 1.696780
10688, 155, 50, 0.987500, 1, 100, 0.000000, 1.700706
10720, 155, 50, 0.987500, 1, 100, 0.000000, 1.696553
10752, 155, 50, 0.987500, 1, 100, 0.000000, 1.697622
10784, 155, 50, 0.987500, 1, 100, 0.000000, 1.697315
10816, 155, 50, 0.987500, 1, 100, 0.000000, 1.697131
10848, 155, 50, 0.987500, 1, 100, 0.000000, 1.702515
10880, 155, 50, 0.987500, 1, 100, 0.000000, 1.697951
10912, 155, 50, 0.987500, 1, 100, 0.000001, 1.700359
10944, 155, 50, 0.987500, 1, 100, 0.000000, 1.695084
10976, 155, 50, 0.987500, 1, 100, 0.000000, 1.696381
11008, 155, 50, 0.987500, 1, 100, 0.000001, 1.695377
11040, 155, 50, 0.987500, 1, 100, 0.000000, 1.697242
11072, 155, 50, 0.987500, 1, 100, 0.000000, 1.695952
11104, 155, 50, 0.987500, 1, 100, 0.000000, 1.696381
11136, 155, 50, 0.987500, 1, 100, 0.000000, 1.694307
11168, 155, 50, 0.987500, 1, 100, 0.000000, 1.700762
11200, 155, 50, 0.987500, 1, 100, 0.000000, 1.699087
11232, 155, 50, 0.987500, 1, 100, 0.000000, 1.699406
11264, 155, 50, 0.987500, 1, 100, 0.000000, 1.694971
11296, 155, 50, 0.987500, 1, 100, 0.000001, 1.700436
11328, 155, 50, 0.987500, 1, 100, 0.000000, 1.697263
11360, 155, 50, 0.987500, 1, 100, 0.000000, 1.699400
11392, 155, 50, 0.987500, 1, 100, 0.000000, 1.703092
11424, 155, 50, 0.987500, 1, 100, 0.000000, 1.695964
11456, 155, 50, 0.987500, 1, 100, 0.000000, 1.699584
11488, 155, 50, 0.987500, 1, 100, 0.000000, 1.700145
11520, 155, 50, 0.987500, 1, 100, 0.000000, 1.697491
11552, 155, 50, 0.987500, 1, 100, 0.000000, 1.695833
11584, 155, 50, 0.987500, 1, 100, 0.000000, 1.701947
11616, 155, 50, 0.987500, 1, 100, 0.000000, 1.696403
11648, 155, 50, 0.987500, 1, 100, 0.000000, 1.696554
11680, 155, 50, 0.987500, 1, 100, 0.000000, 1.697789
11712, 155, 50, 0.987500, 1, 100, 0.000000, 1.696658
11744, 155, 50, 0.987500, 1, 100, 0.000000, 1.698318
11776, 155, 50, 0.987500, 1, 100, 0.000000, 1.695970
11808, 155, 50, 0.987500, 1, 100, 0.000000, 1.697495
11840, 155, 50, 0.987500, 1, 100, 0.000000, 1.700224
11872, 155, 50, 0.987500, 1, 100, 0.000000, 1.694057
11904, 155, 50, 0.987500, 1, 100, 0.000000, 1.699027
11936, 155, 50, 0.987500, 1, 100, 0.000000, 1.695029
11968, 155, 50, 0.987500, 1, 100, 0.000000, 1.700199
12000, 155, 50, 0.987500, 1, 100, 0.000000, 1.698745
12032, 155, 50, 0.987500, 1, 100, 0.000000, 1.702784
12064, 155, 50, 0.987500, 1, 100, 0.000000, 1.702423
12096, 155, 50, 0.987500, 1, 100, 0.000000, 1.699958
12128, 155, 50, 0.987500, 1, 100, 0.000000, 1.699363
12160, 155, 50, 0.987500, 1, 100, 0.000000, 1.694786
12192, 155, 50, 0.987500, 1, 100, 0.000000, 1.692113
12224, 155, 50, 0.987500, 1, 100, 0.000000, 1.694304
12256, 155, 50, 0.987500, 1, 100, 0.000000, 1.694294
12288, 155, 50, 0.987500, 1, 100, 0.000000, 1.701536
12320, 155, 50, 0.987500, 1, 100, 0.000000, 1.697583
12352, 155, 50, 0.987500, 1, 100, 0.000000, 1.696329
12384, 155, 50, 0.987500, 1, 100, 0.000000, 1.700157
12416, 155, 50, 0.987500, 1, 100, 0.000000, 1.699523
12448, 155, 50, 0.987500, 1, 100, 0.000000, 1.697303
12480, 155, 50, 0.987500, 1, 100, 0.000000, 1.698843
12512, 155, 50, 0.987500, 1, 100, 0.000000, 1.691312
12544, 155, 50, 0.987500, 1, 100, 0.000000, 1.696747
12576, 155, 50, 0.987500, 1, 100, 0.000000, 1.695859
12608, 155, 50, 0.987500, 1, 100, 0.000000, 1.696550
12640, 155, 50, 0.987500, 1, 100, 0.000000, 1.698471
12672, 155, 50, 0.987500, 1, 100, 0.000000, 1.699701
12704, 155, 50, 0.987500, 1, 100, 0.000000, 1.695432
12736, 155, 50, 0.987500, 1, 100, 0.000000, 1.700567
12768, 155, 50, 0.987500, 1, 100, 0.000000, 1.701083
12800, 155, 50, 0.987500, 1, 100, 0.000000, 1.698714
12832, 155, 50, 0.987500, 1, 100, 0.000000, 1.693323
12864, 155, 50, 0.987500, 1, 100, 0.000000, 1.697678
12896, 155, 50, 0.987500, 1, 100, 0.000000, 1.694596
12928, 155, 50, 0.987500, 1, 100, 0.000000, 1.697464
12960, 155, 50, 0.987500, 1, 100, 0.000000, 1.699010
12992, 155, 50, 0.987500, 1, 100, 0.000000, 1.696652
13024, 155, 50, 0.987500, 1, 100, 0.000000, 1.697058
13056, 155, 50, 0.987500, 1, 100, 0.000000, 1.695097
13088, 155, 50, 0.987500, 1, 100, 0.000000, 1.701299
13120, 155, 50, 0.987500, 1, 100, 0.000000, 1.696966
