tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
4128, 155, 50, 0.987500, 1, 100, 0.038123, 1.667488
4160, 155, 50, 0.987500, 1, 100, 0.036684, 1.670033
4192, 155, 50, 0.987500, 1, 100, 0.042397, 1.665871
4224, 155, 50, 0.987500, 1, 100, 0.037826, 1.668942
4256, 155, 50, 0.987500, 1, 100, 0.034805, 1.666739
4288, 155, 50, 0.987500, 1, 100, 0.037642, 1.672082
4320, 155, 50, 0.987500, 1, 100, 0.039661, 1.669799
4352, 155, 50, 0.987500, 1, 100, 0.037596, 1.667520
4384, 155, 50, 0.987500, 1, 100, 0.040578, 1.669300
4416, 155, 50, 0.987500, 1, 100, 0.036889, 1.669025
4448, 155, 50, 0.987500, 1, 100, 0.035363, 1.671560
4480, 155, 50, 0.987500, 1, 100, 0.032797, 1.667879
4512, 155, 50, 0.987500, 1, 100, 0.033507, 1.675278
4544, 155, 50, 0.987500, 1, 100, 0.034655, 1.672129
4576, 155, 50, 0.987500, 1, 100, 0.044421, 1.663010
4608, 155, 50, 0.987500, 1, 100, 0.034337, 1.672276
4640, 155, 50, 0.987500, 1, 100, 0.034030, 1.675094
4672, 155, 50, 0.987500, 1, 100, 0.037923, 1.664658
4704, 155, 50, 0.987500, 1, 100, 0.034183, 1.665614
4736, 155, 50, 0.987500, 1, 100, 0.034944, 1.668470
4768, 155, 50, 0.987500, 1, 100, 0.032477, 1.671666
4800, 155, 50, 0.987500, 1, 100, 0.033890, 1.671955
4832, 155, 50, 0.987500, 1, 100, 0.031163, 1.675645
4864, 155, 50, 0.987500, 1, 100, 0.033878, 1.674607
4896, 155, 50, 0.987500, 1, 100, 0.037134, 1.671321
4928, 155, 50, 0.987500, 1, 100, 0.031358, 1.673440
4960, 155, 50, 0.987500, 1, 100, 0.033389, 1.676755
4992, 155, 50, 0.987500, 1, 100, 0.032341, 1.674046
5024, 155, 50, 0.987500, 1, 100, 0.033107, 1.674948
5056, 155, 50, 0.987500, 1, 100, 0.031595, 1.672469
5088, 155, 50, 0.987500, 1, 100, 0.031734, 1.671465
5120, 155, 50, 0.987500, 1, 100, 0.031560, 1.675680
5152, 155, 50, 0.987500, 1, 100, 0.033638, 1.668327
5184, 155, 50, 0.987500, 1, 100, 0.030350, 1.672079
5216, 155, 50, 0.987500, 1, 100, 0.032590, 1.674183
5248, 155, 50, 0.987500, 1, 100, 0.031987, 1.675985
5280, 155, 50, 0.987500, 1, 100, 0.030070, 1.671469
5312, 155, 50, 0.987500, 1, 100, 0.028785, 1.672288
5344, 155, 50, 0.987500, 1, 100, 0.027309, 1.671380
5376, 155, 50, 0.987500, 1, 100, 0.028512, 1.678574
5408, 155, 50, 0.987500, 1, 100, 0.031580, 1.672621
5440, 155, 50, 0.987500, 1, 100, 0.030751, 1.677281
5472, 155, 50, 0.987500, 1, 100, 0.028138, 1.674162
