tau,regular_loss,naughty_loss
12640, 0.015502, 1.686529
12672, 0.014160, 1.691406
12704, 0.016960, 1.688348
12736, 0.017725, 1.684998
12768, 0.013732, 1.691309
12800, 0.016356, 1.686101
12832, 0.014390, 1.690789
12864, 0.014933, 1.688542
12896, 0.014396, 1.683948
12928, 0.016219, 1.683888
12960, 0.016107, 1.687134
12992, 0.015642, 1.691950
13024, 0.013877, 1.695493
13056, 0.014215, 1.688115
13088, 0.014729, 1.687197
13120, 0.013048, 1.686630
13152, 0.016973, 1.686641
13184, 0.014006, 1.685640
13216, 0.015897, 1.690087
13248, 0.015524, 1.688092
13280, 0.013821, 1.689411
13312, 0.014766, 1.687422
13344, 0.014767, 1.689782
13376, 0.016781, 1.685724
13408, 0.015337, 1.682785
13440, 0.014956, 1.689640
13472, 0.015612, 1.687974
13504, 0.013171, 1.687411
13536, 0.012778, 1.687351
13568, 0.014777, 1.689592
13600, 0.014971, 1.684100
13632, 0.013726, 1.690935
13664, 0.014244, 1.683910
13696, 0.014298, 1.690615
13728, 0.012930, 1.693300
13760, 0.013472, 1.690278
13792, 0.012866, 1.689195
13824, 0.014109, 1.687811
13856, 0.014826, 1.685135
13888, 0.013376, 1.684354
13920, 0.015056, 1.687970
13952, 0.014822, 1.685768
13984, 0.012833, 1.687799
14016, 0.015388, 1.685512
14048, 0.013680, 1.685317
14080, 0.012564, 1.687912
14112, 0.015162, 1.687354
14144, 0.013838, 1.687411
14176, 0.012337, 1.692766
14208, 0.011858, 1.687450
14240, 0.012273, 1.687218
14272, 0.015154, 1.687303
14304, 0.014923, 1.686492
14336, 0.014272, 1.684676
14368, 0.012410, 1.688630
14400, 0.012174, 1.686410
14432, 0.012756, 1.689646
14464, 0.012082, 1.688062
14496, 0.013663, 1.691909
14528, 0.012270, 1.696904
14560, 0.013981, 1.688016
14592, 0.012204, 1.686610
14624, 0.013015, 1.684313
14656, 0.013258, 1.688398
14688, 0.013579, 1.686320
14720, 0.012177, 1.686231
14752, 0.013782, 1.686633
14784, 0.012013, 1.684450
14816, 0.012083, 1.687822
14848, 0.013673, 1.687037
14880, 0.015361, 1.686936
14912, 0.014445, 1.688557
14944, 0.012128, 1.685266
14976, 0.011832, 1.687623
15008, 0.013525, 1.689040
15040, 0.012787, 1.686617
15072, 0.012585, 1.688901
15104, 0.012271, 1.688100
15136, 0.013029, 1.684538
15168, 0.012866, 1.684229
15200, 0.011244, 1.684825
15232, 0.012898, 1.682195
15264, 0.012017, 1.692257
15296, 0.012301, 1.691309
15328, 0.013919, 1.690425
15360, 0.015275, 1.688321
15392, 0.014538, 1.689264
15424, 0.013810, 1.685460
15456, 0.012510, 1.686997
15488, 0.012580, 1.685788
15520, 0.012440, 1.691556
15552, 0.012328, 1.694120
15584, 0.014146, 1.690306
15616, 0.011694, 1.689092
15648, 0.014581, 1.685724
15680, 0.012162, 1.687988
15712, 0.013300, 1.687865
15744, 0.012217, 1.688919
15776, 0.011734, 1.687702
15808, 0.011172, 1.689680
15840, 0.013179, 1.681763
15872, 0.013894, 1.683359
15904, 0.011040, 1.686894
15936, 0.012548, 1.690159
15968, 0.011758, 1.688427
16000, 0.011401, 1.693573
16032, 0.013874, 1.690174
16064, 0.015334, 1.685954
16096, 0.013739, 1.683295
16128, 0.010835, 1.694070
16160, 0.012261, 1.688673
16192, 0.013048, 1.689674
16224, 0.011400, 1.687291
16256, 0.011007, 1.691035
16288, 0.013874, 1.686140
16320, 0.011676, 1.687335
16352, 0.011013, 1.691899
16384, 0.012822, 1.688792
16416, 0.011856, 1.692260
16448, 0.013194, 1.691723
16480, 0.012521, 1.689600
16512, 0.011536, 1.687200
16544, 0.012764, 1.686799
16576, 0.012534, 1.692799
16608, 0.011440, 1.688976
16640, 0.012086, 1.687785
16672, 0.010375, 1.688777
16704, 0.012924, 1.688959
16736, 0.011200, 1.693865
16768, 0.010643, 1.689537
16800, 0.011399, 1.689133
16832, 0.011849, 1.688740
16864, 0.011110, 1.685640
16896, 0.011506, 1.689388
16928, 0.010741, 1.689163
16960, 0.010726, 1.690863
16992, 0.012667, 1.688390
17024, 0.012066, 1.688865
17056, 0.010888, 1.686879
17088, 0.011529, 1.694023
17120, 0.012642, 1.692795
17152, 0.012102, 1.686325
17184, 0.011576, 1.688351
17216, 0.011641, 1.688605
17248, 0.012467, 1.691482
17280, 0.010772, 1.692470
17312, 0.011826, 1.691535
17344, 0.011999, 1.690784
17376, 0.010471, 1.691419
17408, 0.014906, 1.684585
17440, 0.011120, 1.689302
17472, 0.010393, 1.685317
17504, 0.012852, 1.689634
17536, 0.011803, 1.689322
17568, 0.011557, 1.690300
17600, 0.010518, 1.691890
17632, 0.011250, 1.690278
17664, 0.011636, 1.688800
17696, 0.012239, 1.689785
17728, 0.011510, 1.687446
17760, 0.010058, 1.690856
17792, 0.011836, 1.684649
17824, 0.010310, 1.692514
17856, 0.013122, 1.688586
17888, 0.010476, 1.691520
17920, 0.010386, 1.696935
17952, 0.012128, 1.687655
17984, 0.011034, 1.690565
18016, 0.011025, 1.690814
18048, 0.011661, 1.689164
18080, 0.010205, 1.695334
18112, 0.011868, 1.691837
18144, 0.011190, 1.688022
18176, 0.010927, 1.687990
18208, 0.011008, 1.686122
18240, 0.010037, 1.692343
18272, 0.010964, 1.687542
18304, 0.010904, 1.688271
18336, 0.011205, 1.689664
18368, 0.010571, 1.695964
18400, 0.010993, 1.693083
18432, 0.011591, 1.690983
18464, 0.009906, 1.689504
18496, 0.011898, 1.689607
18528, 0.010443, 1.691389
18560, 0.013120, 1.688221
18592, 0.012560, 1.688489
18624, 0.011239, 1.693669
