tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
4096, 0.979523, 2.532808, 0.979523, 2.754433
6144, 0.745828, 2.705428, 0.745830, 2.929618
8192, 0.599425, 2.803991, 0.599425, 3.024347
10240, 0.499788, 2.879421, 0.499788, 3.101649
12288, 0.428661, 2.924287, 0.428663, 3.145126
14336, 0.382115, 2.998712, 0.382115, 3.221350
16384, 0.343193, 3.035212, 0.343193, 3.258412
18432, 0.305792, 3.026881, 0.305792, 3.249477
20480, 0.279157, 3.058816, 0.279157, 3.279870
22528, 0.258303, 3.082167, 0.258305, 3.303164
24576, 0.243106, 3.120353, 0.243106, 3.340731
26624, 0.220680, 3.099094, 0.220680, 3.324058
28672, 0.210061, 3.120643, 0.210061, 3.344533
30720, 0.198155, 3.134495, 0.198155, 3.356959
32768, 0.185405, 3.122940, 0.185405, 3.343937
34816, 0.176506, 3.135884, 0.176517, 3.355278
36864, 0.165569, 3.136248, 0.165569, 3.356332
38912, 0.160874, 3.143385, 0.160875, 3.365901
40960, 0.154583, 3.154734, 0.154583, 3.373656
43008, 0.147799, 3.168523, 0.147802, 3.388794
45056, 0.144673, 3.167147, 0.144673, 3.386871
47104, 0.135494, 3.174589, 0.135499, 3.399626
49152, 0.135802, 3.217164, 0.135802, 3.442038
51200, 0.125788, 3.187682, 0.125790, 3.414799
0, 1.856290, 1.819501, 1.856290, 2.072129
2048, 1.390519, 2.189587, 1.390524, 2.442455
4096, 1.007167, 2.517587, 1.007172, 2.769758
6144, 0.767868, 2.682157, 0.767871, 2.933859
8192, 0.617619, 2.794513, 0.617619, 3.051578
10240, 0.518595, 2.876793, 0.518595, 3.133239
12288, 0.452480, 2.940896, 0.452480, 3.189426
14336, 0.390883, 2.961898, 0.390883, 3.214188
16384, 0.353569, 3.019874, 0.353590, 3.269365
18432, 0.315246, 3.027763, 0.315249, 3.278940
20480, 0.294780, 3.062107, 0.294783, 3.316349
22528, 0.266357, 3.064141, 0.266357, 3.316893
24576, 0.251262, 3.087520, 0.251270, 3.336965
26624, 0.236087, 3.113883, 0.236092, 3.364045
28672, 0.217051, 3.100001, 0.217058, 3.349881
30720, 0.203709, 3.113404, 0.203709, 3.367779
32768, 0.194844, 3.122209, 0.194847, 3.371977
34816, 0.183720, 3.144233, 0.183722, 3.392803
36864, 0.174882, 3.131714, 0.174882, 3.377743
38912, 0.165863, 3.138725, 0.165866, 3.390133
40960, 0.162312, 3.158518, 0.162312, 3.413807
43008, 0.157633, 3.185196, 0.157633, 3.434734
45056, 0.145951, 3.150514, 0.145951, 3.399775
47104, 0.142173, 3.167277, 0.142173, 3.416541
49152, 0.134853, 3.153437, 0.134858, 3.403695
51200, 0.132828, 3.177670, 0.132828, 3.432720
0, 1.837454, 1.794540, 1.837454, 2.078301
2048, 1.403939, 2.160296, 1.403962, 2.443559
4096, 1.011731, 2.449633, 1.011738, 2.729069
6144, 0.789397, 2.666100, 0.789400, 2.957491
8192, 0.639057, 2.782301, 0.639057, 3.065938
10240, 0.531272, 2.832110, 0.531284, 3.115248
12288, 0.463385, 2.925593, 0.463394, 3.210705
14336, 0.401813, 2.923048, 0.401817, 3.205918
16384, 0.358840, 2.963634, 0.358840, 3.248039
18432, 0.331254, 3.029178, 0.331256, 3.314267
20480, 0.297416, 3.012356, 0.297425, 3.293713
22528, 0.274613, 3.034955, 0.274618, 3.320581
24576, 0.258039, 3.049625, 0.258045, 3.333262
26624, 0.238868, 3.065613, 0.238869, 3.344604
28672, 0.224959, 3.101635, 0.224959, 3.380432
30720, 0.212342, 3.103657, 0.212342, 3.383930
32768, 0.197747, 3.098628, 0.197750, 3.381092
34816, 0.189874, 3.104497, 0.189877, 3.383073
36864, 0.181334, 3.126419, 0.181356, 3.409775
38912, 0.173031, 3.130837, 0.173051, 3.412483
40960, 0.159544, 3.093774, 0.159562, 3.374601
43008, 0.162275, 3.150040, 0.162280, 3.430373
45056, 0.151461, 3.132853, 0.151479, 3.413257
47104, 0.142084, 3.116766, 0.142084, 3.396377
49152, 0.142731, 3.159758, 0.142733, 3.444181
51200, 0.132203, 3.126051, 0.132211, 3.411187
0, 1.855725, 1.812129, 1.855742, 2.130999
2048, 1.428051, 2.148484, 1.428056, 2.468769
4096, 1.050980, 2.453127, 1.050996, 2.770468
6144, 0.813034, 2.637501, 0.813063, 2.952687
8192, 0.653861, 2.744592, 0.653887, 3.060370
10240, 0.550746, 2.808555, 0.550768, 3.121950
12288, 0.478331, 2.889361, 0.478341, 3.205656
14336, 0.420192, 2.935386, 0.420197, 3.250998
16384, 0.376141, 2.954086, 0.376147, 3.268685
18432, 0.336795, 2.977456, 0.336806, 3.291634
20480, 0.311669, 3.006125, 0.311683, 3.324262
22528, 0.283081, 3.012078, 0.283094, 3.323120
24576, 0.268403, 3.053606, 0.268414, 3.375426
26624, 0.246005, 3.042633, 0.246016, 3.358626
28672, 0.230406, 3.075030, 0.230424, 3.394318
30720, 0.220742, 3.087057, 0.220752, 3.402781
