tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.034449, 0.993358, 0.035689, 2.277870
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.032246, 0.998859, 0.033396, 2.279129
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.030211, 0.986238, 0.031382, 2.265890
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.028744, 0.995438, 0.029891, 2.280114
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.028673, 1.009610, 0.029783, 2.291129
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.026461, 1.000089, 0.027652, 2.281189
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.025179, 0.997587, 0.026340, 2.282720
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.024720, 1.011087, 0.025841, 2.293764
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.024208, 1.007393, 0.025388, 2.291291
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.022855, 0.991550, 0.024077, 2.271167
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.022625, 1.000685, 0.023813, 2.281191
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.021892, 1.000418, 0.023186, 2.280718
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.461962, 0.512343, 0.463101, 1.795761
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.242047, 0.704211, 0.243361, 1.993344
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.149693, 0.769177, 0.150868, 2.057047
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.108592, 0.801740, 0.109833, 2.086318
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.085549, 0.817487, 0.086832, 2.101559
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.070996, 0.829713, 0.072197, 2.114596
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.059283, 0.825367, 0.060489, 2.108379
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.052441, 0.834617, 0.053709, 2.119529
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.048704, 0.859543, 0.049820, 2.140999
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.041909, 0.846199, 0.043061, 2.131279
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.038358, 0.846724, 0.039673, 2.130974
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.036047, 0.858404, 0.037339, 2.141323
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.033064, 0.849662, 0.034279, 2.138644
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.032472, 0.872018, 0.033719, 2.158217
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.030153, 0.867280, 0.031323, 2.148299
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.028071, 0.863317, 0.029273, 2.151982
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.026925, 0.863362, 0.028249, 2.149373
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.024205, 0.854496, 0.025387, 2.142991
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.024821, 0.875821, 0.025911, 2.158147
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.024247, 0.872945, 0.025497, 2.158852
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.024112, 0.892053, 0.025436, 2.171912
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.021925, 0.872310, 0.023210, 2.158602
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.020560, 0.870807, 0.021727, 2.154200
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.020974, 0.888050, 0.022144, 2.176979
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.020075, 0.875819, 0.021349, 2.162991
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.008000, 0.019416, 0.875088, 0.020688, 2.155919
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.399168, 0.442219, 0.400408, 1.730676
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.205812, 0.597871, 0.207036, 1.885567
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.130898, 0.665395, 0.132162, 1.949160
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.094072, 0.681776, 0.095238, 1.966814
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.073644, 0.695855, 0.074969, 1.977216
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.061142, 0.710543, 0.062364, 1.994122
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.053199, 0.720052, 0.054357, 2.006753
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.045604, 0.713165, 0.046850, 1.992259
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.041553, 0.731950, 0.042764, 2.020515
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.037728, 0.729514, 0.038952, 2.018385
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.035505, 0.744980, 0.036651, 2.031367
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.031509, 0.733739, 0.032757, 2.017022
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.029628, 0.745498, 0.030744, 2.033690
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.027350, 0.739256, 0.028540, 2.024631
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.025865, 0.738254, 0.027108, 2.027259
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.024515, 0.743990, 0.025666, 2.028598
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.023068, 0.740428, 0.024257, 2.030760
