tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,average_loss_pure,average_loss_all
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.904211, 1.538865
27136, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.913053, 1.549867
27648, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.910706, 1.548137
28160, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.915459, 1.555707
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.906941, 1.543667
29184, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.913579, 1.550360
29696, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.900980, 1.535569
30208, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.907410, 1.543425
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.914448, 1.554717
31232, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.911269, 1.548475
31744, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.910995, 1.545821
32256, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.908142, 1.544089
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.902444, 1.538033
33280, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.910850, 1.547626
33792, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.921226, 1.559758
34304, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.908997, 1.545090
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.910642, 1.548482
35328, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.903399, 1.540343
35840, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.915638, 1.552797
36352, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.907004, 1.539736
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.898683, 1.533757
37376, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.911013, 1.546823
37888, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.910807, 1.549243
38400, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.898115, 1.532327
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.915357, 1.552777
39424, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.904377, 1.540977
39936, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.901753, 1.536494
40448, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.902970, 1.538449
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.912597, 1.549880
41472, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.912577, 1.546973
41984, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.911049, 1.546821
42496, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.906275, 1.542816
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.908626, 1.546585
43520, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.908427, 1.544785
44032, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.915125, 1.551844
44544, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.903682, 1.539972
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.910454, 1.547092
45568, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.901464, 1.537224
46080, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.904811, 1.539148
46592, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.908666, 1.543664
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.903255, 1.540261
47616, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.908982, 1.546733
48128, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.899900, 1.535720
48640, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.898354, 1.535606
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.921099, 1.557559
49664, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.907612, 1.544227
50176, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.910806, 1.547638
50688, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.903802, 1.540939
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.900628, 1.536045
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.910799, 1.552544
512, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.905223, 1.546502
1024, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.887338, 1.527444
1536, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.880442, 1.516595
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.873114, 1.510549
2560, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.854050, 1.492901
3072, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.852656, 1.491999
3584, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.842967, 1.480547
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.849137, 1.487852
4608, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.842281, 1.482476
5120, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.838499, 1.476044
5632, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.852805, 1.492002
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.834545, 1.473146
6656, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.836127, 1.474176
7168, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.834716, 1.472499
7680, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.833811, 1.474117
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.832688, 1.469346
8704, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.834435, 1.473286
9216, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.835426, 1.473615
9728, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.837801, 1.479081
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.837689, 1.477018
10752, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.831965, 1.469324
11264, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.831897, 1.467198
11776, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.840374, 1.478788
