30720, 0.179194, 3.126019, 0.179197, 3.336451
32768, 0.168390, 3.123001, 0.168390, 3.334800
34816, 0.162442, 3.149072, 0.162442, 3.358626
36864, 0.152137, 3.146375, 0.152142, 3.356894
38912, 0.145004, 3.151445, 0.145004, 3.362796
40960, 0.140283, 3.152923, 0.140286, 3.361801
43008, 0.132406, 3.158130, 0.132406, 3.364775
45056, 0.130929, 3.175534, 0.130929, 3.389339
47104, 0.124042, 3.170828, 0.124042, 3.384562
49152, 0.118862, 3.158829, 0.118862, 3.366857
51200, 0.114150, 3.156756, 0.114150, 3.366394
0, 1.841330, 1.809251, 1.841346, 2.048600
2048, 1.325074, 2.223547, 1.325084, 2.459553
4096, 0.919971, 2.526091, 0.919979, 2.766042
6144, 0.700957, 2.704793, 0.700957, 2.942980
8192, 0.560884, 2.823720, 0.560899, 3.064343
10240, 0.468601, 2.886876, 0.468601, 3.125281
12288, 0.402356, 2.930873, 0.402360, 3.167114
14336, 0.356773, 2.978795, 0.356776, 3.216371
16384, 0.315161, 3.003973, 0.315161, 3.243923
18432, 0.284505, 3.011414, 0.284508, 3.246324
20480, 0.263386, 3.044680, 0.263386, 3.278638
22528, 0.240718, 3.046559, 0.240718, 3.279840
24576, 0.227223, 3.084876, 0.227223, 3.324660
26624, 0.206332, 3.081874, 0.206332, 3.317438
28672, 0.197979, 3.105750, 0.197979, 3.340062
30720, 0.180692, 3.089812, 0.180701, 3.324933
32768, 0.175819, 3.127459, 0.175819, 3.365045
34816, 0.165814, 3.119762, 0.165815, 3.357707
36864, 0.156532, 3.124482, 0.156532, 3.358565
38912, 0.149850, 3.142828, 0.149855, 3.376864
40960, 0.142869, 3.132370, 0.142882, 3.370665
43008, 0.137183, 3.148394, 0.137183, 3.386543
45056, 0.130123, 3.151695, 0.130134, 3.392868
47104, 0.127322, 3.135589, 0.127322, 3.373972
49152, 0.123075, 3.155001, 0.123075, 3.390757
51200, 0.120249, 3.168161, 0.120249, 3.402721
0, 1.841125, 1.809454, 1.841125, 2.076569
2048, 1.332811, 2.184979, 1.332818, 2.453502
4096, 0.943911, 2.510409, 0.943930, 2.777762
6144, 0.714700, 2.672914, 0.714703, 2.935844
8192, 0.575904, 2.786693, 0.575909, 3.052894
10240, 0.483858, 2.866405, 0.483863, 3.133669
12288, 0.414126, 2.898731, 0.414149, 3.161202
14336, 0.363591, 2.949333, 0.363599, 3.213064
16384, 0.324633, 2.977086, 0.324635, 3.240584
18432, 0.291397, 2.992676, 0.291405, 3.259889
20480, 0.272229, 3.045093, 0.272229, 3.311064
22528, 0.248856, 3.046231, 0.248856, 3.308596
24576, 0.229205, 3.063209, 0.229214, 3.332998
26624, 0.215871, 3.069387, 0.215874, 3.333390
28672, 0.203086, 3.082081, 0.203091, 3.347836
30720, 0.187636, 3.072690, 0.187642, 3.333824
32768, 0.179875, 3.085198, 0.179885, 3.347581
34816, 0.168459, 3.093744, 0.168459, 3.359349
36864, 0.159389, 3.102077, 0.159391, 3.371418
38912, 0.153052, 3.111671, 0.153052, 3.377844
40960, 0.145882, 3.114114, 0.145915, 3.380632
43008, 0.140592, 3.111443, 0.140597, 3.376816
45056, 0.136409, 3.129959, 0.136412, 3.396654
47104, 0.127331, 3.106569, 0.127340, 3.373287
49152, 0.127849, 3.130349, 0.127851, 3.398288
51200, 0.123815, 3.124445, 0.123828, 3.390113
0, 1.840189, 1.805992, 1.840191, 2.106363
2048, 1.346954, 2.162565, 1.346957, 2.465287
4096, 0.956973, 2.463974, 0.956989, 2.764087
6144, 0.727674, 2.638342, 0.727695, 2.937011
8192, 0.595694, 2.782191, 0.595707, 3.078408
10240, 0.496999, 2.838900, 0.497005, 3.135134
12288, 0.425946, 2.883500, 0.425970, 3.175943
14336, 0.372744, 2.902135, 0.372765, 3.199914
16384, 0.334686, 2.955672, 0.334699, 3.250292
18432, 0.303965, 2.990223, 0.303981, 3.288660
20480, 0.275964, 2.991091, 0.275969, 3.289051
22528, 0.255940, 3.032221, 0.255941, 3.329727
24576, 0.236663, 3.031985, 0.236671, 3.329999
26624, 0.220472, 3.054847, 0.220481, 3.349970
28672, 0.203891, 3.037957, 0.203911, 3.331048
30720, 0.195249, 3.066259, 0.195268, 3.364126
32768, 0.180232, 3.052465, 0.180240, 3.347296
34816, 0.175270, 3.087890, 0.175301, 3.387083
36864, 0.165334, 3.091136, 0.165366, 3.391443
38912, 0.159304, 3.088529, 0.159311, 3.385210
40960, 0.154389, 3.111495, 0.154415, 3.408580
43008, 0.144792, 3.108488, 0.144799, 3.405278
45056, 0.142103, 3.119512, 0.142109, 3.415065
47104, 0.131060, 3.096336, 0.131070, 3.389780
49152, 0.133241, 3.129994, 0.133244, 3.425350
51200, 0.129931, 3.137396, 0.129938, 3.438779
0, 1.836444, 1.797978, 1.836447, 2.137309
2048, 1.377885, 2.158965, 1.377892, 2.493088
4096, 0.980966, 2.438616, 0.980971, 2.776243
6144, 0.750355, 2.614029, 0.750397, 2.947658
8192, 0.602877, 2.721256, 0.602890, 3.057051
10240, 0.506805, 2.801201, 0.506813, 3.132833
12288, 0.435775, 2.861001, 0.435803, 3.197601
14336, 0.383701, 2.885636, 0.383719, 3.216165
16384, 0.348348, 2.938019, 0.348361, 3.279044
18432, 0.311522, 2.957256, 0.311528, 3.289906
20480, 0.283387, 2.973803, 0.283391, 3.305801
22528, 0.260598, 2.996823, 0.260624, 3.326585
24576, 0.247079, 3.033588, 0.247090, 3.364021
26624, 0.227279, 3.016012, 0.227305, 3.345107
28672, 0.216504, 3.037476, 0.216523, 3.371399
30720, 0.204479, 3.059516, 0.204513, 3.386511
32768, 0.189898, 3.038830, 0.189924, 3.370498
34816, 0.181006, 3.058394, 0.181022, 3.391297
36864, 0.171173, 3.077216, 0.171199, 3.408618
38912, 0.164796, 3.087919, 0.164818, 3.423000
40960, 0.157404, 3.084133, 0.157412, 3.418759
43008, 0.149664, 3.071562, 0.149703, 3.400929
45056, 0.145864, 3.104379, 0.145866, 3.441817
