tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
36608, 155, 50, 0.500000, 0.500000, 10, 100, 0.056922, 2.109937, 0.058058, 3.377868
36864, 155, 50, 0.500000, 0.500000, 10, 100, 0.053917, 2.103912, 0.055054, 3.374044
37120, 155, 50, 0.500000, 0.500000, 10, 100, 0.055047, 2.115342, 0.056199, 3.386482
37376, 155, 50, 0.500000, 0.500000, 10, 100, 0.055394, 2.124133, 0.056674, 3.393200
37632, 155, 50, 0.500000, 0.500000, 10, 100, 0.054639, 2.101199, 0.055847, 3.364129
37888, 155, 50, 0.500000, 0.500000, 10, 100, 0.053092, 2.102642, 0.054326, 3.367017
38144, 155, 50, 0.500000, 0.500000, 10, 100, 0.055058, 2.114083, 0.056365, 3.377428
38400, 155, 50, 0.500000, 0.500000, 10, 100, 0.052735, 2.105786, 0.054027, 3.372010
38656, 155, 50, 0.500000, 0.500000, 10, 100, 0.053422, 2.112157, 0.054658, 3.379372
38912, 155, 50, 0.500000, 0.500000, 10, 100, 0.053460, 2.109369, 0.054732, 3.379137
39168, 155, 50, 0.500000, 0.500000, 10, 100, 0.053156, 2.097640, 0.054328, 3.361945
39424, 155, 50, 0.500000, 0.500000, 10, 100, 0.053627, 2.114187, 0.054914, 3.382101
39680, 155, 50, 0.500000, 0.500000, 10, 100, 0.050396, 2.098232, 0.051592, 3.367987
39936, 155, 50, 0.500000, 0.500000, 10, 100, 0.053585, 2.122986, 0.054916, 3.393137
40192, 155, 50, 0.500000, 0.500000, 10, 100, 0.051770, 2.112132, 0.052953, 3.377300
40448, 155, 50, 0.500000, 0.500000, 10, 100, 0.050626, 2.087497, 0.051879, 3.349067
40704, 155, 50, 0.500000, 0.500000, 10, 100, 0.051769, 2.115512, 0.052961, 3.384676
40960, 155, 50, 0.500000, 0.500000, 10, 100, 0.049822, 2.092112, 0.051078, 3.354983
41216, 155, 50, 0.500000, 0.500000, 10, 100, 0.051023, 2.113991, 0.052255, 3.383263
41472, 155, 50, 0.500000, 0.500000, 10, 100, 0.050978, 2.111034, 0.052325, 3.377691
41728, 155, 50, 0.500000, 0.500000, 10, 100, 0.050305, 2.095831, 0.051482, 3.361960
41984, 155, 50, 0.500000, 0.500000, 10, 100, 0.049357, 2.106563, 0.050595, 3.373839
42240, 155, 50, 0.500000, 0.500000, 10, 100, 0.047713, 2.084809, 0.048937, 3.356026
42496, 155, 50, 0.500000, 0.500000, 10, 100, 0.048718, 2.092807, 0.050013, 3.358972
