tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
1344, 155, 50, 0.978750, 1, 100, 2.069055
1344, 155, 50, 0.988750, 1, 100, 2.194516
1344, 155, 50, 0.998750, 1, 100, 2.568678
1376, 155, 50, 0.968750, 1, 100, 1.988801
1376, 155, 50, 0.978750, 1, 100, 2.067030
1376, 155, 50, 0.988750, 1, 100, 2.185712
1376, 155, 50, 0.998750, 1, 100, 2.511969
1408, 155, 50, 0.968750, 1, 100, 1.973356
1408, 155, 50, 0.978750, 1, 100, 2.079992
1408, 155, 50, 0.988750, 1, 100, 2.178803
1408, 155, 50, 0.998750, 1, 100, 2.593480
1440, 155, 50, 0.968750, 1, 100, 1.977776
1440, 155, 50, 0.978750, 1, 100, 2.056126
1440, 155, 50, 0.988750, 1, 100, 2.212361
1440, 155, 50, 0.998750, 1, 100, 2.511898
1472, 155, 50, 0.968750, 1, 100, 1.989630
1472, 155, 50, 0.978750, 1, 100, 2.075007
1472, 155, 50, 0.988750, 1, 100, 2.203011
1472, 155, 50, 0.998750, 1, 100, 2.557342
1504, 155, 50, 0.968750, 1, 100, 1.956224
1504, 155, 50, 0.978750, 1, 100, 2.053080
1504, 155, 50, 0.988750, 1, 100, 2.225902
1504, 155, 50, 0.998750, 1, 100, 2.579785
1536, 155, 50, 0.968750, 1, 100, 1.971261
1536, 155, 50, 0.978750, 1, 100, 2.084054
1536, 155, 50, 0.988750, 1, 100, 2.203918
1536, 155, 50, 0.998750, 1, 100, 2.542783
1568, 155, 50, 0.968750, 1, 100, 1.966168
1568, 155, 50, 0.978750, 1, 100, 2.058525
1568, 155, 50, 0.988750, 1, 100, 2.193809
1568, 155, 50, 0.998750, 1, 100, 2.519622
1600, 155, 50, 0.968750, 1, 100, 1.976871
1600, 155, 50, 0.978750, 1, 100, 2.032569
1600, 155, 50, 0.988750, 1, 100, 2.180859
1600, 155, 50, 0.998750, 1, 100, 2.481916
1632, 155, 50, 0.968750, 1, 100, 1.952341
1632, 155, 50, 0.978750, 1, 100, 2.057410
1632, 155, 50, 0.988750, 1, 100, 2.211468
1632, 155, 50, 0.998750, 1, 100, 2.507481
1664, 155, 50, 0.968750, 1, 100, 1.967496
1664, 155, 50, 0.978750, 1, 100, 2.065133
1664, 155, 50, 0.988750, 1, 100, 2.193451
1664, 155, 50, 0.998750, 1, 100, 2.591125
1696, 155, 50, 0.968750, 1, 100, 1.927319
1696, 155, 50, 0.978750, 1, 100, 2.050754
1696, 155, 50, 0.988750, 1, 100, 2.228900
1696, 155, 50, 0.998750, 1, 100, 2.527872
1728, 155, 50, 0.968750, 1, 100, 1.928391
1728, 155, 50, 0.978750, 1, 100, 2.060969
1728, 155, 50, 0.988750, 1, 100, 2.184688
1728, 155, 50, 0.998750, 1, 100, 2.534817
1760, 155, 50, 0.968750, 1, 100, 1.930521
1760, 155, 50, 0.978750, 1, 100, 2.056691
1760, 155, 50, 0.988750, 1, 100, 2.209697
1760, 155, 50, 0.998750, 1, 100, 2.508252
1792, 155, 50, 0.968750, 1, 100, 1.913727
1792, 155, 50, 0.978750, 1, 100, 2.061993
1792, 155, 50, 0.988750, 1, 100, 2.211335
1792, 155, 50, 0.998750, 1, 100, 2.526011
1824, 155, 50, 0.968750, 1, 100, 1.918391
1824, 155, 50, 0.978750, 1, 100, 2.053035
1824, 155, 50, 0.988750, 1, 100, 2.200843
1824, 155, 50, 0.998750, 1, 100, 2.530927
1856, 155, 50, 0.968750, 1, 100, 1.918770
1856, 155, 50, 0.978750, 1, 100, 2.047060
1856, 155, 50, 0.988750, 1, 100, 2.218948
1856, 155, 50, 0.998750, 1, 100, 2.484513
1888, 155, 50, 0.968750, 1, 100, 1.900877
1888, 155, 50, 0.978750, 1, 100, 2.044272
1888, 155, 50, 0.988750, 1, 100, 2.216485
1888, 155, 50, 0.998750, 1, 100, 2.543454
1920, 155, 50, 0.968750, 1, 100, 1.895568
1920, 155, 50, 0.978750, 1, 100, 2.045744
1920, 155, 50, 0.988750, 1, 100, 2.205195
1920, 155, 50, 0.998750, 1, 100, 2.604209
1952, 155, 50, 0.968750, 1, 100, 1.900691
1952, 155, 50, 0.978750, 1, 100, 2.058477
1952, 155, 50, 0.988750, 1, 100, 2.179862
1952, 155, 50, 0.998750, 1, 100, 2.534900
1984, 155, 50, 0.968750, 1, 100, 1.892570
1984, 155, 50, 0.978750, 1, 100, 2.041084
1984, 155, 50, 0.988750, 1, 100, 2.178130
1984, 155, 50, 0.998750, 1, 100, 2.547851
2016, 155, 50, 0.968750, 1, 100, 1.895854
2016, 155, 50, 0.978750, 1, 100, 2.052646
2016, 155, 50, 0.988750, 1, 100, 2.208307
2016, 155, 50, 0.998750, 1, 100, 2.500177
2048, 155, 50, 0.968750, 1, 100, 1.897732
2048, 155, 50, 0.978750, 1, 100, 2.047478
2048, 155, 50, 0.988750, 1, 100, 2.207141
2048, 155, 50, 0.998750, 1, 100, 2.497035
2080, 155, 50, 0.968750, 1, 100, 1.902960
2080, 155, 50, 0.978750, 1, 100, 2.050341
2080, 155, 50, 0.988750, 1, 100, 2.199081
2080, 155, 50, 0.998750, 1, 100, 2.568764
2112, 155, 50, 0.968750, 1, 100, 1.901571
2112, 155, 50, 0.978750, 1, 100, 2.055904
2112, 155, 50, 0.988750, 1, 100, 2.179081
2112, 155, 50, 0.998750, 1, 100, 2.511588
2144, 155, 50, 0.968750, 1, 100, 1.911250
2144, 155, 50, 0.978750, 1, 100, 2.065401
2144, 155, 50, 0.988750, 1, 100, 2.207681
2144, 155, 50, 0.998750, 1, 100, 2.548550
2176, 155, 50, 0.968750, 1, 100, 1.906568
2176, 155, 50, 0.978750, 1, 100, 2.056239
2176, 155, 50, 0.988750, 1, 100, 2.195924
2176, 155, 50, 0.998750, 1, 100, 2.493387
2208, 155, 50, 0.968750, 1, 100, 1.897129
2208, 155, 50, 0.978750, 1, 100, 2.045363
2208, 155, 50, 0.988750, 1, 100, 2.202460
2208, 155, 50, 0.998750, 1, 100, 2.561091
2240, 155, 50, 0.968750, 1, 100, 1.920022
2240, 155, 50, 0.978750, 1, 100, 2.044307
2240, 155, 50, 0.988750, 1, 100, 2.235001
2240, 155, 50, 0.998750, 1, 100, 2.538079
2272, 155, 50, 0.968750, 1, 100, 1.891971
2272, 155, 50, 0.978750, 1, 100, 2.052235
2272, 155, 50, 0.988750, 1, 100, 2.188006
2272, 155, 50, 0.998750, 1, 100, 2.623492
2304, 155, 50, 0.968750, 1, 100, 1.903164
2304, 155, 50, 0.978750, 1, 100, 2.025558
2304, 155, 50, 0.988750, 1, 100, 2.203493
2304, 155, 50, 0.998750, 1, 100, 2.520297
