tau,regular_loss,naughty_loss
2592, 0.331147, 1.562806
2592, 0.957156, 1.092032
2592, 1.104773, 1.102194
2592, 1.340360, 1.203307
2624, 0.301971, 1.578838
2624, 0.943403, 1.096644
2624, 1.092964, 1.087208
2624, 1.347722, 1.213458
2656, 0.322703, 1.580711
2656, 0.951169, 1.088657
2656, 1.104603, 1.100443
2656, 1.341081, 1.218555
2688, 0.300876, 1.597963
2688, 0.945220, 1.105580
2688, 1.096652, 1.089118
2688, 1.326585, 1.207909
2720, 0.350258, 1.545388
2720, 0.933997, 1.100768
2720, 1.091353, 1.089727
2720, 1.344080, 1.229177
2752, 0.329834, 1.566366
2752, 0.926690, 1.115175
2752, 1.088551, 1.098572
2752, 1.351524, 1.212258
2784, 0.299327, 1.590165
2784, 0.937333, 1.103527
2784, 1.102305, 1.102267
2784, 1.325122, 1.202621
2816, 0.342336, 1.553553
2816, 0.938612, 1.095679
2816, 1.093222, 1.104527
2816, 1.343857, 1.207970
2848, 0.307510, 1.588966
2848, 0.944148, 1.115846
2848, 1.085986, 1.097116
2848, 1.310945, 1.188934
2880, 0.304455, 1.597412
2880, 0.925159, 1.102058
2880, 1.090517, 1.103109
2880, 1.324694, 1.209147
2912, 0.294051, 1.612756
2912, 0.914625, 1.108950
2912, 1.092087, 1.108919
2912, 1.336159, 1.204055
2944, 0.318843, 1.582316
2944, 0.926024, 1.110889
2944, 1.081827, 1.098021
2944, 1.357378, 1.233905
2976, 0.322518, 1.571874
2976, 0.914781, 1.118010
2976, 1.067748, 1.089283
2976, 1.353570, 1.220203
3008, 0.315973, 1.567714
3008, 0.912145, 1.124263
3008, 1.087135, 1.109608
3008, 1.316397, 1.195669
3040, 0.351369, 1.542259
3040, 0.928624, 1.116898
3040, 1.078289, 1.103641
3040, 1.337374, 1.212045
3072, 0.299043, 1.592341
3072, 0.915123, 1.117599
3072, 1.085338, 1.110547
3072, 1.324229, 1.200509
3104, 0.319069, 1.572290
3104, 0.914546, 1.122575
3104, 1.079202, 1.108206
3104, 1.262841, 1.150110
3136, 0.296491, 1.594880
3136, 0.915856, 1.130708
3136, 1.091648, 1.121864
3136, 1.347731, 1.212677
3168, 0.306882, 1.574255
3168, 0.895684, 1.132063
3168, 1.078518, 1.106889
3168, 1.297130, 1.187158
3200, 0.309799, 1.580738
3200, 0.900139, 1.132415
3200, 1.086819, 1.125403
3200, 1.311851, 1.192172
3232, 0.307317, 1.583743
3232, 0.901678, 1.127991
3232, 1.068276, 1.106340
3232, 1.322274, 1.209348
3264, 0.298542, 1.583506
3264, 0.884801, 1.146877
3264, 1.073641, 1.114345
3264, 1.330355, 1.198785
3296, 0.289381, 1.621858
3296, 0.887091, 1.125407
3296, 1.071871, 1.116732
3296, 1.334916, 1.206428
3328, 0.298623, 1.590488
3328, 0.871593, 1.158568
3328, 1.071230, 1.125664
3328, 1.349516, 1.220797
3360, 0.317412, 1.575600
3360, 0.896792, 1.134856
