tau, regular_loss, naughty_loss
1351680, 0.000695, 0.064410
1352704, 0.000714, 0.073859
1353728, 0.000836, 0.079201
1354752, 0.000586, 0.060335
1355776, 0.000462, 0.045649
1356800, 0.000804, 0.074348
1357824, 0.000781, 0.079369
1358848, 0.000926, 0.101321
1359872, 0.000750, 0.071783
1360896, 0.000504, 0.051944
1361920, 0.000765, 0.078907
1362944, 0.000457, 0.051838
1363968, 0.000652, 0.068798
1364992, 0.000690, 0.066934
1366016, 0.001266, 0.131012
1367040, 0.000656, 0.061267
1368064, 0.000950, 0.101376
1369088, 0.000538, 0.047945
1370112, 0.000823, 0.079788
1371136, 0.000966, 0.092597
1372160, 0.000454, 0.049176
1373184, 0.001004, 0.106581
1374208, 0.000911, 0.095170
1375232, 0.000465, 0.047966
1376256, 0.000615, 0.064170
1377280, 0.000568, 0.056843
1378304, 0.000825, 0.097898
1379328, 0.000952, 0.100534
1380352, 0.001246, 0.138809
1381376, 0.000825, 0.089436
1382400, 0.000786, 0.082893
1383424, 0.000605, 0.058787
1384448, 0.000573, 0.061512
1385472, 0.000789, 0.077215
1386496, 0.001314, 0.148656
1387520, 0.001096, 0.134089
1388544, 0.000869, 0.103227
1389568, 0.000652, 0.080473
1390592, 0.000677, 0.086984
1391616, 0.000451, 0.053682
1392640, 0.000709, 0.076351
1393664, 0.000773, 0.093620
1394688, 0.001558, 0.218229
1395712, 0.000932, 0.109643
1396736, 0.000563, 0.069667
1397760, 0.000791, 0.085727
1398784, 0.000483, 0.054174
1399808, 0.000833, 0.110139
1400832, 0.000551, 0.062720
1401856, 0.000781, 0.095805
1402880, 0.000652, 0.078151
1403904, 0.000739, 0.103270
1404928, 0.000553, 0.062522
1405952, 0.000729, 0.100431
1406976, 0.000519, 0.070290
1408000, 0.000979, 0.127340
1409024, 0.000691, 0.094725
1410048, 0.000542, 0.064426
1411072, 0.000610, 0.072832
1412096, 0.000643, 0.091249
1413120, 0.000825, 0.110819
1414144, 0.000573, 0.071820
1415168, 0.000756, 0.105999
1416192, 0.000643, 0.087376
1417216, 0.000973, 0.134822
1418240, 0.000413, 0.049264
1419264, 0.000732, 0.094505
1420288, 0.000621, 0.076134
1421312, 0.000534, 0.069748
1422336, 0.000719, 0.084855
1423360, 0.000890, 0.114491
1424384, 0.000563, 0.067461
1425408, 0.001066, 0.155372
1426432, 0.000514, 0.066530
1427456, 0.000721, 0.084675
1428480, 0.000713, 0.090474
1429504, 0.000599, 0.078627
1430528, 0.000623, 0.078619
1431552, 0.000654, 0.082097
1432576, 0.000730, 0.092786
1433600, 0.000493, 0.068372
1434624, 0.000514, 0.063737
1435648, 0.000495, 0.065091
1436672, 0.000439, 0.060103
1437696, 0.000597, 0.072441
1438720, 0.000656, 0.089050
1439744, 0.000608, 0.082310
1440768, 0.000587, 0.086761
1441792, 0.000547, 0.067164
1442816, 0.000534, 0.066236
1443840, 0.000392, 0.050183
1444864, 0.000667, 0.086612
1445888, 0.000594, 0.074779
1446912, 0.000416, 0.056698
1447936, 0.000877, 0.121838
1448960, 0.000817, 0.098060
1449984, 0.000558, 0.076125
1451008, 0.000765, 0.102344
1452032, 0.000737, 0.105212
1453056, 0.000669, 0.091918
1454080, 0.000708, 0.095595
1455104, 0.000887, 0.146123
1456128, 0.001028, 0.170192
1457152, 0.000665, 0.078225
1458176, 0.000470, 0.065109
1459200, 0.000452, 0.056461
1460224, 0.000639, 0.095313
1461248, 0.000792, 0.108610
1462272, 0.000376, 0.048387
1463296, 0.000667, 0.091853
1464320, 0.000426, 0.061112
1465344, 0.000483, 0.064745
1466368, 0.000745, 0.101778
1467392, 0.000711, 0.102267
1468416, 0.000429, 0.060503
1469440, 0.000514, 0.074654
1470464, 0.000254, 0.035487
1471488, 0.000377, 0.057604
1472512, 0.000701, 0.101257
1473536, 0.000714, 0.107916
1474560, 0.000563, 0.079741
1475584, 0.001057, 0.169947
1476608, 0.000532, 0.089021
1477632, 0.000342, 0.060620
1478656, 0.000649, 0.114357
1479680, 0.000480, 0.081066
1480704, 0.000394, 0.068577
1481728, 0.000597, 0.095643
1482752, 0.000758, 0.118058
1483776, 0.000338, 0.058847
1484800, 0.000804, 0.159703
1485824, 0.000431, 0.077464
1486848, 0.000488, 0.081243
1487872, 0.000485, 0.079445
1488896, 0.000669, 0.127127
1489920, 0.000677, 0.125860
1490944, 0.000447, 0.085278
1491968, 0.000516, 0.083756
1492992, 0.000262, 0.053223
1494016, 0.000247, 0.051594
1495040, 0.000350, 0.068815
1496064, 0.000306, 0.071996
1497088, 0.000530, 0.101680
1498112, 0.000522, 0.105625
1499136, 0.000540, 0.109767
1500160, 0.000521, 0.121719
1501184, 0.000283, 0.063572
1502208, 0.000207, 0.045883
1503232, 0.000159, 0.039776
1504256, 0.000337, 0.092985
1505280, 0.000255, 0.063928
1506304, 0.000439, 0.111064
1507328, 0.000402, 0.089037
1508352, 0.000444, 0.109639
1509376, 0.000286, 0.073523
1510400, 0.000382, 0.079360
1511424, 0.000361, 0.096849
1512448, 0.000501, 0.141349
1513472, 0.000226, 0.062134
1514496, 0.000527, 0.137422
1515520, 0.000304, 0.076956
1516544, 0.000403, 0.089526
1517568, 0.000397, 0.107549
1518592, 0.000324, 0.081300
1519616, 0.000408, 0.113985
1520640, 0.000363, 0.105532
1521664, 0.000161, 0.039340
1522688, 0.000159, 0.049176
1523712, 0.000210, 0.064149
1524736, 0.000286, 0.081887
1525760, 0.000374, 0.106531
1526784, 0.000337, 0.112843
1527808, 0.000246, 0.085471
1528832, 0.000251, 0.061411
1529856, 0.000143, 0.045196
1530880, 0.000247, 0.067077
1531904, 0.000181, 0.061021
1532928, 0.000189, 0.063320
1533952, 0.000345, 0.101572
1534976, 0.000127, 0.044542
1536000, 0.000517, 0.183771
1537024, 0.000255, 0.093967
1538048, 0.000303, 0.100589
1539072, 0.000210, 0.070317
1540096, 0.000146, 0.064142
1541120, 0.000210, 0.076058
1542144, 0.000246, 0.093220
1543168, 0.000181, 0.062705
1544192, 0.000148, 0.055505
1545216, 0.000153, 0.043407
1546240, 0.000281, 0.098594
1547264, 0.000223, 0.077541
1548288, 0.000213, 0.078294
1549312, 0.000290, 0.107813
1550336, 0.000169, 0.055736
1551360, 0.000259, 0.097680
1552384, 0.000221, 0.075459
1553408, 0.000205, 0.082772
1554432, 0.000242, 0.084754
1555456, 0.000207, 0.079443
1556480, 0.000205, 0.094263
1557504, 0.000233, 0.098624
1558528, 0.000202, 0.068725
1559552, 0.000156, 0.067396
1560576, 0.000155, 0.055559
1561600, 0.000169, 0.060714
1562624, 0.000264, 0.128775
1563648, 0.000223, 0.094934
1564672, 0.000208, 0.077160
1565696, 0.000119, 0.051411
1566720, 0.000143, 0.058254
1567744, 0.000127, 0.051610
1568768, 0.000166, 0.059464
1569792, 0.000215, 0.089786
1570816, 0.000324, 0.134537
1571840, 0.000179, 0.069865
1572864, 0.000221, 0.088499
1573888, 0.000262, 0.097851
1574912, 0.000221, 0.095747
1575936, 0.000239, 0.075704
1576960, 0.000324, 0.144772
1577984, 0.000208, 0.087430
1579008, 0.000158, 0.089352
1580032, 0.000244, 0.115604
1581056, 0.000194, 0.114317
1582080, 0.000153, 0.083634
1583104, 0.000174, 0.117280
1584128, 0.000124, 0.083882
1585152, 0.000070, 0.048780
1586176, 0.000148, 0.127975
1587200, 0.000107, 0.092229
1588224, 0.000096, 0.092446
1589248, 0.000072, 0.065627
1590272, 0.000099, 0.111097
1591296, 0.000073, 0.074099
1592320, 0.000033, 0.047489
1593344, 0.000088, 0.087718
1594368, 0.000050, 0.055242
1595392, 0.000065, 0.076726
1596416, 0.000049, 0.091775
1597440, 0.000085, 0.088084
1598464, 0.000057, 0.050262
1599488, 0.000083, 0.081898
1600512, 0.000057, 0.110606
1601536, 0.000057, 0.099713
1602560, 0.000049, 0.063553
1603584, 0.000060, 0.096778
1604608, 0.000050, 0.072078
1605632, 0.000044, 0.062114
1606656, 0.000041, 0.093433
1607680, 0.000007, 0.063685
1608704, 0.000003, 0.068814
1609728, 0.000010, 0.104786
1610752, 0.000000, 0.084604
1611776, 0.000003, 0.077891
1612800, 0.000002, 0.128762
1613824, 0.000002, 0.087955
1614848, 0.000000, 0.081142
1615872, 0.000000, 0.084710
1616896, 0.000000, 0.078991
1617920, 0.000000, 0.071129
