tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
1088, 155, 0, 0.988750, 1, 100, 0.000497, 0.000000
1088, 155, 0, 0.998750, 1, 100, 0.010022, 0.000000
1120, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1120, 155, 0, 0.978750, 1, 100, 0.000002, 0.000000
1120, 155, 0, 0.988750, 1, 100, 0.000510, 0.000000
1120, 155, 0, 0.998750, 1, 100, 0.011209, 0.000000
1152, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1152, 155, 0, 0.978750, 1, 100, 0.000132, 0.000000
1152, 155, 0, 0.988750, 1, 100, 0.000477, 0.000000
1152, 155, 0, 0.998750, 1, 100, 0.010090, 0.000000
1184, 155, 0, 0.968750, 1, 100, 0.000011, 0.000000
1184, 155, 0, 0.978750, 1, 100, 0.000002, 0.000000
1184, 155, 0, 0.988750, 1, 100, 0.000644, 0.000000
1184, 155, 0, 0.998750, 1, 100, 0.010504, 0.000000
1216, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1216, 155, 0, 0.978750, 1, 100, 0.000068, 0.000000
1216, 155, 0, 0.988750, 1, 100, 0.000742, 0.000000
1216, 155, 0, 0.998750, 1, 100, 0.011162, 0.000000
1248, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1248, 155, 0, 0.978750, 1, 100, 0.000044, 0.000000
1248, 155, 0, 0.988750, 1, 100, 0.000637, 0.000000
1248, 155, 0, 0.998750, 1, 100, 0.012030, 0.000000
1280, 155, 0, 0.968750, 1, 100, 0.000004, 0.000000
1280, 155, 0, 0.978750, 1, 100, 0.000081, 0.000000
1280, 155, 0, 0.988750, 1, 100, 0.000834, 0.000000
1280, 155, 0, 0.998750, 1, 100, 0.010160, 0.000000
1312, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1312, 155, 0, 0.978750, 1, 100, 0.000021, 0.000000
1312, 155, 0, 0.988750, 1, 100, 0.000355, 0.000000
1312, 155, 0, 0.998750, 1, 100, 0.009648, 0.000000
1344, 155, 0, 0.968750, 1, 100, 0.000035, 0.000000
1344, 155, 0, 0.978750, 1, 100, 0.000053, 0.000000
1344, 155, 0, 0.988750, 1, 100, 0.000700, 0.000000
1344, 155, 0, 0.998750, 1, 100, 0.010929, 0.000000
1376, 155, 0, 0.968750, 1, 100, 0.000006, 0.000000
1376, 155, 0, 0.978750, 1, 100, 0.000031, 0.000000
1376, 155, 0, 0.988750, 1, 100, 0.000576, 0.000000
1376, 155, 0, 0.998750, 1, 100, 0.012150, 0.000000
