tau,regular_loss,naughty_loss
9600, 0.078568, 1.638897
9632, 0.077881, 1.638450
9664, 0.075662, 1.642253
9696, 0.075919, 1.640471
9728, 0.075777, 1.637543
9760, 0.076631, 1.640761
9792, 0.075083, 1.637751
9824, 0.075220, 1.633499
9856, 0.075558, 1.640575
9888, 0.075884, 1.643783
9920, 0.074462, 1.642847
9952, 0.074897, 1.641435
9984, 0.074855, 1.641576
10016, 0.072269, 1.640793
10048, 0.073979, 1.641169
10080, 0.072546, 1.641027
10112, 0.074602, 1.642723
10144, 0.072717, 1.646390
10176, 0.071785, 1.642454
10208, 0.072489, 1.638776
10240, 0.071627, 1.642167
10272, 0.071798, 1.644729
10304, 0.072247, 1.643882
10336, 0.071205, 1.644015
10368, 0.071428, 1.643009
10400, 0.071653, 1.642700
10432, 0.069693, 1.638894
10464, 0.071787, 1.641594
10496, 0.070845, 1.642957
10528, 0.071105, 1.642133
10560, 0.068341, 1.642115
10592, 0.070822, 1.642154
10624, 0.070863, 1.643302
10656, 0.071112, 1.640469
10688, 0.070934, 1.639520
10720, 0.070428, 1.644697
10752, 0.070238, 1.642009
10784, 0.070587, 1.643226
10816, 0.068577, 1.641539
10848, 0.070000, 1.647351
10880, 0.069149, 1.644147
10912, 0.070126, 1.641345
10944, 0.069668, 1.650781
10976, 0.067854, 1.646252
11008, 0.070448, 1.643978
11040, 0.068854, 1.648955
11072, 0.067088, 1.649589
11104, 0.068064, 1.642620
11136, 0.066498, 1.644465
11168, 0.066715, 1.644079
11200, 0.066820, 1.647632
11232, 0.067493, 1.647046
11264, 0.066770, 1.642723
11296, 0.067033, 1.647561
11328, 0.067140, 1.651276
11360, 0.065695, 1.644949
11392, 0.065785, 1.647813
11424, 0.065241, 1.646902
11456, 0.066805, 1.646872
11488, 0.064489, 1.648423
11520, 0.065901, 1.647209
11552, 0.064718, 1.652971
11584, 0.065577, 1.648878
11616, 0.065387, 1.649415
11648, 0.065896, 1.649509
11680, 0.066681, 1.650978
11712, 0.064839, 1.644405
11744, 0.064874, 1.648723
11776, 0.065493, 1.647298
11808, 0.063780, 1.644782
11840, 0.064291, 1.645263
11872, 0.063285, 1.649655
11904, 0.063347, 1.654195
11936, 0.064675, 1.650176
11968, 0.060829, 1.646559
12000, 0.063994, 1.652229
12032, 0.062808, 1.648370
12064, 0.064500, 1.645376
12096, 0.064142, 1.646698
12128, 0.064074, 1.647894
12160, 0.061587, 1.649626
12192, 0.064535, 1.645325
12224, 0.062649, 1.646437
12256, 0.063588, 1.644974
12288, 0.062195, 1.651418
12320, 0.061536, 1.649417
12352, 0.062362, 1.652114
12384, 0.063147, 1.649975
12416, 0.062303, 1.646118
12448, 0.061069, 1.650374
12480, 0.062404, 1.647961
12512, 0.060048, 1.651016
12544, 0.062014, 1.654074
12576, 0.059059, 1.647653
12608, 0.061271, 1.649161
12640, 0.061716, 1.652192
12672, 0.061136, 1.650023
12704, 0.061550, 1.648722
12736, 0.062035, 1.650316
12768, 0.058812, 1.650043
12800, 0.060222, 1.647532
